movieId,imdbId,title,year,genres,imdbUrl
1,tt0114709,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,http://www.imdb.com/title/tt0114709
2,tt0113497,Jumanji,1995,Adventure|Children|Fantasy,http://www.imdb.com/title/tt0113497
3,tt0113228,Grumpier Old Men,1995,Comedy|Romance,http://www.imdb.com/title/tt0113228
4,tt0114885,Waiting to Exhale,1995,Comedy|Drama|Romance,http://www.imdb.com/title/tt0114885
5,tt0113041,Father of the Bride Part II,1995,Comedy,http://www.imdb.com/title/tt0113041
6,tt0113277,Heat,1995,Action|Crime|Thriller,http://www.imdb.com/title/tt0113277
7,tt0114319,Sabrina,1995,Comedy|Romance,http://www.imdb.com/title/tt0114319
8,tt0112302,Tom and Huck,1995,Adventure|Children,http://www.imdb.com/title/tt0112302
9,tt0114576,Sudden Death,1995,Action,http://www.imdb.com/title/tt0114576
10,tt0113189,GoldenEye,1995,Action|Adventure|Thriller,http://www.imdb.com/title/tt0113189
11,tt0112346,"American President, The",1995,Comedy|Drama|Romance,http://www.imdb.com/title/tt0112346
12,tt0112896,Dracula: Dead and Loving It,1995,Comedy|Horror,http://www.imdb.com/title/tt0112896
13,tt0112453,Balto,1995,Adventure|Animation|Children,http://www.imdb.com/title/tt0112453
14,tt0113987,Nixon,1995,Drama,http://www.imdb.com/title/tt0113987
15,tt0112760,Cutthroat Island,1995,Action|Adventure|Romance,http://www.imdb.com/title/tt0112760
16,tt0112641,Casino,1995,Crime|Drama,http://www.imdb.com/title/tt0112641
17,tt0114388,Sense and Sensibility,1995,Drama|Romance,http://www.imdb.com/title/tt0114388
18,tt0113101,Four Rooms,1995,Comedy,http://www.imdb.com/title/tt0113101
19,tt0112281,Ace Ventura: When Nature Calls,1995,Comedy,http://www.imdb.com/title/tt0112281
20,tt0113845,Money Train,1995,Action|Comedy|Crime|Drama|Thriller,http://www.imdb.com/title/tt0113845
21,tt0113161,Get Shorty,1995,Comedy|Crime|Thriller,http://www.imdb.com/title/tt0113161
22,tt0112722,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,http://www.imdb.com/title/tt0112722
23,tt0112401,Assassins,1995,Action|Crime|Thriller,http://www.imdb.com/title/tt0112401
24,tt0114168,Powder,1995,Drama|Sci-Fi,http://www.imdb.com/title/tt0114168
25,tt0113627,Leaving Las Vegas,1995,Drama|Romance,http://www.imdb.com/title/tt0113627
26,tt0114057,Othello,1995,Drama,http://www.imdb.com/title/tt0114057
27,tt0114011,Now and Then,1995,Children|Drama,http://www.imdb.com/title/tt0114011
28,tt0114117,Persuasion,1995,Drama|Romance,http://www.imdb.com/title/tt0114117
29,tt0112682,"City of Lost Children, The (Cit? des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,http://www.imdb.com/title/tt0112682
30,tt0115012,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime|Drama,http://www.imdb.com/title/tt0115012
31,tt0112792,Dangerous Minds,1995,Drama,http://www.imdb.com/title/tt0112792
32,tt0114746,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller,http://www.imdb.com/title/tt0114746
34,tt0112431,Babe,1995,Children|Drama,http://www.imdb.com/title/tt0112431
36,tt0112818,Dead Man Walking,1995,Crime|Drama,http://www.imdb.com/title/tt0112818
38,tt0113442,It Takes Two,1995,Children|Comedy,http://www.imdb.com/title/tt0113442
39,tt0112697,Clueless,1995,Comedy|Romance,http://www.imdb.com/title/tt0112697
40,tt0112749,"Cry, the Beloved Country",1995,Drama,http://www.imdb.com/title/tt0112749
41,tt0114279,Richard III,1995,Drama|War,http://www.imdb.com/title/tt0114279
42,tt0112819,Dead Presidents,1995,Action|Crime|Drama,http://www.imdb.com/title/tt0112819
43,tt0114272,Restoration,1995,Drama,http://www.imdb.com/title/tt0114272
44,tt0113855,Mortal Kombat,1995,Action|Adventure|Fantasy,http://www.imdb.com/title/tt0113855
45,tt0114681,To Die For,1995,Comedy|Drama|Thriller,http://www.imdb.com/title/tt0114681
46,tt0113347,How to Make an American Quilt,1995,Drama|Romance,http://www.imdb.com/title/tt0113347
47,tt0114369,Seven (a.k.a. Se7en),1995,Mystery|Thriller,http://www.imdb.com/title/tt0114369
48,tt0114148,Pocahontas,1995,Animation|Children|Drama|Musical|Romance,http://www.imdb.com/title/tt0114148
49,tt0114916,When Night Is Falling,1995,Drama|Romance,http://www.imdb.com/title/tt0114916
50,tt0114814,"Usual Suspects, The",1995,Crime|Mystery|Thriller,http://www.imdb.com/title/tt0114814
52,tt0113819,Mighty Aphrodite,1995,Comedy|Drama|Romance,http://www.imdb.com/title/tt0113819
53,tt0110299,Lamerica,1994,Adventure|Drama,http://www.imdb.com/title/tt0110299
54,tt0112499,"Big Green, The",1995,Children|Comedy,http://www.imdb.com/title/tt0112499
55,tt0113158,Georgia,1995,Drama,http://www.imdb.com/title/tt0113158
57,tt0113321,Home for the Holidays,1995,Drama,http://www.imdb.com/title/tt0113321
